Comment,Length,Specific,Actionable,Justified
good,1,0,0,0
unmet,1,0,0,0
excellent,1,0,0,0
breakdowns,1,0,0,0
great,1,0,0,0
nice,1,0,0,0
awesome,1,0,0,0
missing,1,0,0,0
bingo,1,0,0,0
concise,1,0,0,0
absent,1,0,0,0
good job,2,0,0,0
somewhat textheavy,2,0,0,0
great work,2,0,0,0
good work,2,0,0,0
sounds great,2,0,0,0
close enough,2,0,0,0
well presented,2,0,0,0
somewhat obvious,2,0,0,0
lenient here,2,0,0,0
nicely done,2,0,0,0
no pov,2,0,0,0
thorough observations,2,0,0,0
unrelated topic,2,0,0,0
too broad,2,0,0,0
no interpretation,2,0,0,0
no interpretations,2,0,0,0
great pictures,2,0,0,0
well detailed,2,0,0,0
wauw omnidirectional,2,0,0,0
too trivial,2,0,0,0
no screenshots,2,0,0,0
Clean format,2,0,0,0
Fun idea.,2,0,0,0
good job,2,0,0,0
Great job,2,0,0,0
See below,2,0,0,0
missing consent form,3,1,0,0
breakdown for each,3,0,0,0
great job guys,3,0,0,0
15 user needs,3,0,0,0
needs more fidelity,3,0,0,0
pov not provided,3,0,0,0
wheres the science,3,0,0,0
overall good job,3,0,0,0
nice interactive wireframe,3,0,0,0
not very insightful,3,0,0,0
no captions present,3,0,0,0
good incremental improvement,3,0,0,0
no pov found,3,0,0,0
no photossketches submitted,3,0,0,0
invalid chi square,3,0,0,0
theres no pov,3,0,0,0
almost too broad,3,0,0,0
not enough details,3,0,0,0
youre basically there,3,0,0,0
not there yet,3,0,0,0
Good creative idea,3,0,0,0
great business idea!,3,0,0,0
not enough needs submitted,4,0,0,0
good level of fidelity,4,0,0,0
not related to brief,4,0,0,0
theres only one prototype,4,0,0,0
good simple ab test,4,0,0,0
nice point of view,4,0,0,0
could have more fidelity,4,0,0,0
missing too much detail,4,0,0,0
no point of view,4,0,0,0
not relevant to brief,4,0,0,0
should be more detailed,4,0,0,0
steps are not shown,4,0,0,0
couldnt upload an image,4,0,0,0
no sketches or pictures,4,0,0,0
not really a script,4,0,0,0
not fleshed out enough,4,0,0,0
i like this pov,4,0,0,0
no json being loaded,4,0,0,0
looking good code wise,4,0,0,0
good job at needfinding,4,0,0,0
could not verify this,4,0,0,0
no ability to save,4,0,0,0
video feedback good video,4,0,0,0
good work with planning,4,0,0,0
experiment 2 seems better,4,0,0,0
Clear user task. +1,4,0,0,0
Nice introduction and format,4,0,0,0
"Overall, really good idea!",4,0,0,0
Simple and clear solution,4,0,0,0
The ocntents are clear.,4,0,0,0
Very fleshed out app,4,0,0,0
looking forward to your finale,5,0,0,0
the fidelity could be better,5,0,0,0
looking forward to test results,5,0,0,0
missing opinion on heuristic evaluation,5,1,0,0
avoid using a pen completely,5,0,1,0
basically there but needs improvement,5,0,0,0
try to keep captions succinct,5,0,1,0
very detailed and fine observations,5,0,0,0
jocelyn is not verbose enough,5,0,0,0
not really a useful wireframe,5,0,0,0
user need not too welldemonstrated,5,0,0,0
removing a workout doesnt work,5,0,0,0
1 for the funny sketches,5,0,0,0
good job were almost there,5,0,0,0
did not give needfinding talk,5,0,0,0
pertains to personal informatics how,5,0,0,0
doesnt suggest an design directions,5,0,0,0
try to have bigger pictures,5,0,1,0
good work with the sketches,5,0,0,0
home page is currently useless,5,0,0,0
whats the core user need,5,0,0,0
development plan is not attached,5,0,0,0
cant add trips and view,5,0,0,0
not event independent broken links,5,0,0,0
make sure to push regularly,5,0,1,0
points for the redesign prototype,5,0,0,0
good interpretation of specific criticisms,5,0,0,0
this is better than 1,5,0,0,0
good job with the functionality,5,0,0,0
because the pov was incorrect,5,0,0,0
interesting pattern of movement diagrams,5,0,0,0
a bit difficult to understand,5,0,0,0
Have you considered highlighting/different colors?,5,0,0,0
Nice use of color here!,5,1,0,0
Nice video and plausible scenario!,5,0,0,0
The video link is broken!,5,0,0,0
Who is the lead user?,5,0,0,0
try establishing the need more clearly,6,0,1,0
not sure if my project uploaded,6,0,0,0
same comment as for prototype 1,6,0,0,0
textheavy and avoid using a pen,6,0,1,0
video feedback nice video very straightforward,6,0,0,0
i dont see teammember specific tasks,6,0,0,0
how does your app do this,6,1,0,0
taboo add another facet of life,6,0,1,0
cant seem to add a recipe,6,1,0,0
its almost there keep it up,6,0,0,0
cool idea to critique prepared foods,6,0,0,0
no potential results or hypotheses provided,6,0,0,0
interpretations of potential results not provided,6,0,0,0
the transactions pie chart is static,6,1,0,0
wheres the science being generous here,6,1,0,0
some of these needs are repetitive,6,1,0,0
i do not see any needs,6,0,0,0
your speed test failed to work,6,1,0,0
you arent writing to a db,6,0,0,0
excellent community and personal data pages,6,1,0,0
relatively more detailed more relatable pov,6,0,0,0
the consent forms arent filled in,6,0,0,0
great job in compiling detailed observations,6,0,0,0
there are not 6 different evaluations,6,0,0,0
do not see a data file,6,1,0,0
good job in recruiting four interviewees,6,0,0,0
theres no description of the project,6,1,0,0
main issue is the sizing issue,6,1,0,0
video feedback i liked your video,6,0,0,0
"Accidentally wrote ""comfirm"" instead of ""confirm""",6,1,0,0
Always frame around the clickable area,6,1,1,0
app is a great idea :),6,0,0,0
Beautiful use of colors and typography,6,0,0,0
Can you copy/paste directly from lecture?,6,0,0,0
colors for icons should be consistent,6,1,1,0
"Layed out perfectly, great work !",6,1,0,0
good job looking forward to your finale,7,0,0,0
the captions dont explicitly state the breakdowns,7,1,0,0
the user need could be deeperidentified better,7,1,0,0
its a little too obvious and vague,7,0,0,0
observations about the third subject are incomplete,7,1,0,0
try not to mention all relatedsimilar interactions,7,0,1,0
looking forward to your wire frame designs,7,0,0,0
create new event not fleshed out enough,7,1,0,0
the settings page is a dead end,7,1,0,0
again try to better motivate the science,7,0,1,0
rewarded one point for the apps polishedness,7,0,0,0
detailed protocol but there isnt any script,7,1,0,0
hmm youve better justified the map here,7,1,0,0
missed the point of using a storyboard,7,1,0,0
great job implementing the dynamic graph generation,7,1,0,0
nothing in inventory or status pages yet,7,1,0,0
you can sketch if picture wasnt allowed,7,0,1,0
potential results and interpretations were not mentioned,7,1,0,0
saving a workout seems to be buggy,7,1,0,0
no tie in to the studio brief,7,0,0,0
application to studio brief not explicitly mentioned,7,0,0,0
pov needs to state the core problem,7,1,1,0
storyboards 1 and 3 are the same,7,1,0,0
not all the needs listed are needs,7,1,0,0
i like the variety of stakeholders considered,7,1,0,0
the term castle is not very clear,7,1,0,0
the event does not actually postis saved,7,1,0,0
please check out the following video httpswwwyoutubecomwatchvbchsfokeya,7,0,1,0
issues raised are not always specific enough,7,1,0,0
good job getting your stretch goals accomplished,7,0,0,0
no studio name provided eg collaborate 9am,7,0,0,0
the content was only 30 secs long,7,1,0,0
missing some detail but gave point anyway,7,0,0,0
"Design is simple, keeps pertinent information accessible",7,0,0,0
I like your interfaces that are well-organized.,7,0,0,0
Love the AR integration/usage with this video,7,1,0,0
Not sure about this upside down interface?,7,1,0,0
Really interesting idea and place to explore.,7,0,0,0
The comparisons between each option is clearer,7,1,0,0
"There is a typo on ""Send notification"".",7,1,0,0
This is like science fiction. Supper cool,7,1,0,0
Very interesting method to solve the problem!,7,0,0,0
What do the different ports connect to?,7,1,0,0
Your interface is very clean! Good job!,7,0,0,0
please select all relevant pages from the pdf,8,0,1,0
love the effort youve put into the ui,8,0,0,0
a good start with the point of view,8,1,0,0
please provide the entire form for the record,8,0,1,0
tasks need to be more specific and actionable,8,1,1,0
no explicit relevance to the studio brief mentioned,8,0,0,0
not seeing a require or rendered template anywhere,8,1,0,0
you havent explicitly mentioned your point of view,8,1,0,0
pictures relate well with your observations good work,8,1,0,0
analysis of the observations is a bit hazy,8,1,0,0
critical analysis of observations seems to be lacking,8,1,0,0
the unique piggy bank feature not implemented yet,8,1,0,0
i dont see tasks assigned to each person,8,1,0,0
not clear exactly who your target users are,8,0,0,0
you could have included sketches if not pictures,8,0,1,0
nice work with the music playback and voiceover,8,1,0,0
how do users add people to their castle,8,1,0,0
unmet possible outcomes not identified measure is vague,8,1,0,0
current progress isnt updated to newly added transactions,8,1,0,0
the task it page doesnt meet the requirement,8,1,0,0
needs 1 4 and 5 are very similar,8,1,0,0
i need your github url post on piazza,8,0,1,0
not seeing any loops over any data structures,8,1,0,0
cant log into the session that you mentioned,8,1,0,0
unfortunately some of them are not needs 15,8,1,0,0
there are not 6 different types of heuristics,8,1,0,0
cant find where the json files are rendered,8,1,0,0
no detail to develop from in these storyboards,8,1,0,0
generous here because the storyboards arent very divergent,8,1,0,0
