ID,assignment,comments,length
1,1,great work,2
2,1,"good idea, does it exist already?",6
3,1,"well done, could have just used your video questions",9
4,1,nice work,2
5,1,don't see your questions on the online submission - let me know if I should check your physical submission for these!,21
6,1,sketch more,2
7,1,Brainstorming: put more focus into generating a number of diverse concepts (possible solutions),13
8,1,"sketch separately from prototype, brainstorm more",6
9,1,"1 point off for prototype being so short, overall good job!",11
10,1,Well done!,2
11,1,nice work,2
12,1,Well done!,2
13,1,Didn't see video questions on your online submission. Let me know if I should check your physical turn-in.,18
14,1,ensure you are completing entire assignment,6
15,1,Well done!,3
16,1,Well done!,2
17,1,Nice work -- ensure you complete entire assignment -- no prototype present,12
18,1,"The questions for the video don't need to be as long, but should be on separate topics. Both your questions were about 1 particular example from the videos. ",29
19,1,Prototype: could be a little bit more telling and expanded as something a partner can interact with.,18
20,1,good work -- please label assignments to ensure clarity of what is what,13
21,1,good interview,2
22,1,Well done!,2
23,1,Well done!,2
24,1,"Great job! Don't see your video questions in the online submission. Let me know if I should check your physical turn-in. Also, your app idea reminds me of this: http://beyondsmalltalk.com ",31
25,1,Good job!,2
26,1,Missing video questions.,4
27,1,No questions component. Sketch should be visual (not just words).,10
28,1,Dig a little deeper on your point of view to generate more insightful ideas,14
29,1,"Don't see the video questions, but otherwise good job!",9
30,1,great work -- more messiness!,6
31,1,Sketch/Prototype stage separation,3
32,1,Missing questions.,2
33,1,"where are questions? great effort, like the web way to brainstorm.",11
34,1,"The response to the video need to be questions, not just comments. ",13
35,1,I don't see your video questions. Let me know if they're attached to your physical submissions.,17
36,1,Great job! Try to brainstorm more ideas and connect them more with your interview.,14
37,1,Prototype and sketch should be separate,6
38,1,good ideas from thorough ideation and iteration. interview really tells a story.,12
39,1,Well done!,3
40,1,Well done.,3
41,1,Missing in class worksheet,4
42,1,Dig a little deeper on your Point of View,9
43,1,Missing in class worksheet,4
44,1,Well done!,3
45,1,Would be interesting to see how discovery via emotion plays a role in the future,16
46,1,great work,2
47,1,Well done! Just missing video questions.,6
48,1,Interview questions could have been more general.,7
49,1,"Overall good. Could have Looking for 2 questions, not a question and a comment. Was looking for a more fleshed out prototype.",22
