ID,Comment,Num duplicates,Length
344,the captions on the photos didnt give much insight into the breakdowns that happen during the speech,0,17
345,another useful perspective would have been to observeinterview someone who listened to one of these peoples talks,0,17
346,this is just extra reading if youre up for it but heres don normans views on using powerpoint slides for public speaking httpwwwjndorgdnmssindefenseofpowerphtml,0,23
347,the observations need to reflect on how the use of photos made the photo taker andor the photo viewer feel the first observation had this but the others didnt,1,29
340,observation should also contain some reflectionconnection to the brief not merely factual account only the first observation seem to do this,0,21
341,sketch should serve as a documentary for each activity only one seems to be directly connected,0,16
342,the observation plan is vague specifically what kind of communication and what kind of information,0,15
343,how the observations relate to sharing stories and feeling empathy is never made explicit,0,14
348,observations mostly refer to the paragraph above,0,7
349,photo 3 im not sure victor having a good time with an existing system is so much of a design opportunity,0,21
1653,enjoyed having you in studio really liked your critical thinking about the pov,0,13
298,observation description requires more info for example you say arman started implementing several tactics but only give one instance as an example,0,22
299,no photossketches provided,0,3
296,good job,37,2
297,how does each of the musicians practice help with their storytelling some of your reflection would be helpful not just a factual account,0,23
294,well done i like how you observed a lot of different interesting facets of the broad activity of goods exchange,0,20
295,i think the observation of people asking their friends what they think about products is very telling people often would rather hear and trust opinions from those who they know rather than internet strangers,0,34
292,great observations,0,2
293,finding some way to observe an activity would be better but diary and interview is sufficient,0,16
290,ensure to not articulate user needs as solutions or features,7,10
291,many needs are not relevant to brief,0,7
270,redundant needs written observations missing,0,5
272,needs and breakdowns not very relevant to the brief,0,9
273,excellent job looking at different hobbies,0,6
274,great descriptions of the feelings the interviewees went through,0,9
275,photo captions dont explain what kind of breakdown is shown,0,10
276,most of the needs are too general and hard to find a design opportunity in,0,15
277,cooking or food in general is an amazing cultural artifact that carries a lot of stories however i felt your observations didnt demonstrate how the cooking or the resulting food would tell a story or make someone feel and was only a factual account,0,44
278,great work with observations some of the photos didnt demonstrate a breakdown or design opportunity and some of the needs did not relate to something that could be pursued within this design project,0,33
279,i liked that you observed individuals as well as a group good needfinding,0,13
108,brainstormed only on one idea quantity is important,0,8
109,brainstorming focus on generating a diverse set of concepts not just one,0,12
102,great first interview question,0,4
103,great work but you focused in too much on your prototype reflected in your use of a computer to make it remember not to fixate too early on an idea because a better one might come along and you want to be flexible,1,43
100,prototype could be stronger and more tied to previous ideas do the preparation for them  how can you design the emails to make the students feel more like this and less like receiving your average spamuniversity email,0,37
101,good work,17,2
106,dig deeper on your point of view to help you generate more insightful ideas and prototypes also not having video questions hurt your score,1,24
107,only one worksheet submitted,0,4
104,brainstorming and sketching seem to be a strong point,0,9
105,dig a little deeper on your point of view,3,9
1372,great improvement  keep this up,0,5
1001, if i post things whats the quickest way for me to jump to those posts or display those poststheir results,0,20
1210,data dont see any significant writeadd into data capabilities in the app,0,12
1375,protocol should be documented how you should be recording things and or what to watch out for,0,17
1655,thanks a million for a great quarter,4,7
1374,also ensure use of correct statistical test chisquared ttest etc,1,10
99,great job on the assignment but your online submission doesnt contain the first worksheet from class,0,16
98,sketch could be better but gave point anyway video questions,0,10
91,well done,29,2
90,great work,23,2
93,the prototype is a little lacking in terms of giving a user that is testing a interactive experience to work with perhaps a little more integration with the email sent out is the video embedded is it a separate page,0,40
92,i like your concept of an application of doing matching work but ultimately giving the last iteration of selection to the user there can be many benefits to this,0,29
95,ensure youre completing entire assignment  no prototype present,1,8
94,also something to think about if a system is difficult when is it better to add more instructions vs redesign the system,0,22
97,prototype was good but no video questions component was added,0,10
96,nice work,53,2
1623,well done congrats on being one of the top teams,0,10
1622,walkthrough was close to 2 minutes,0,6
1621,good work throughout the whole quarter guys,3,7
1620,awesome work  ,12,2
1627,only 1 deduction presentation is unique and has creative elements that make it memorable which is not to say the presentation was bad  this point was received for the most creative presentations,1,32
1626,thank you for a wonderful quarter and great work,1,9
1625,walkthrough goes almost 2 minutes long,0,6
1624,slide doesnt show off the app show off your whiteboard ,0,10
1629,great job today its been really great seeing your team make progress on the app over the weeks and even going out and personally testing it,0,26
1377,online test plan missing all possible outcomes of the ab test are identified and interpreted with implications on the design of the prototype hypotheses are welcome what will each resulting test outcome possibility imply for the design of the app,1,40
559,nice work  strive to offer more detailed  critical feedback,0,9
558,more comparison confusion about heuristics,0,5
554,great job overall only thing is that the group evaluation did not contain many actionable suggestions for improvement,2,18
557,there was a start of a brainstorm for potential solutions to the prototypes but not an insightful conclusion reached in the aggregate feedback,11,23
556,in general not enough feedback severity rating missing,0,8
550,i liked the aggregate paragraph but it could have had more,1,11
553,good job on home page,2,5
1439,not enough photos,1,3
1199,theres no distinguishing save vs exit without saving which can confusefrustrate users,0,12
1198,the icons are all a bit confusing hide the nonfunctional ones for now also clicking on the pencil should also close the chat and return back to the whiteboard not just the chat button,0,34
1191,dev plan strikethrough to keep track of changes in tasks is nice,0,12
1190,datatemplates currently only persistent changed node session data is on vote counts as noted from things above missing a lot in other areas,0,23
1193,i like the timer functionality but it seems a bit redundant and confusing to have both a percentage scale and a timer because you focus on the timing of brushing i suggest keeping the timer clock instead maybe make it clear from the main game page that the teeth youre collecting is for your animal right now its only clear if you click the help button some of the buttons cut off in mobile form and sometimes the images dont load correctly,0,82
1192,great functionality so far its unclear what it means to fight a boss though some of the functionality in friends needs to be fleshed out as well,0,27
1195,i think perhaps a gallery view might be interesting to try rather than a single image slideshow it could also be made clear that there are multiple images the user can look through as at first glance it seems theres only one image per post,0,45
1197,a few goals were missed,1,5
1196,the navigation is still a little convoluted there are a few too many levels to go down and sometimes its hard to recover back to a previous screen such as the upcoming eventsback to group details the top banner doesnt need to take up that much space,0,47
1177,great job improving on the home page a couple things it would be nice to be able to challenge friends directly from the challenges tab when refreshing the profile page the potato skin reverts to the default,0,37
1175,in general looks like your app is pretty far along i would work on some of the things mentioned above i think priority would be getting the votes to work and then maybe being able to see my own posts,0,40
1174,data submitting things like posts and comments work well for server persistence but the voting isnt quite there i would look into post requests for that,0,26
1173,would be nice to have a way to see just my own posts,0,13
1172,can i log out,0,4
1171,notes  even some simple form validation like the required attribute for user input would be handy,0,16
1170,the home page still needs some work in terms of the mental model it would seem as though the user can click on the images below may be better to just have level progress bars without the images there also isnt a clear connection between achievements and how that relates to the pet there should also be a way to prevent users from unlocking irrelevant achievements rather than just being able to click on any of them,0,77
1179,double click sometimes doesnt work how do i delete systems,0,10
1178,very well organized dev plan but i could not figure out how to complete the task asked of me ie run around a few buildings i only seemed to be able to run around cog sci also the activity and rankings page dont seem to update based on my activity which seems to be core functionality,0,56
511,comments great storyboards your app reminded me of charity navigator httpwwwcharitynavigatororg one thing to consider is the different attitudes people may have towards donating to charity some people might want to donate a small amount regular others to build up to a larger goal over time if they—ç’Îç’‘’ù’ÇÎre not able to access a charity they want to donate to through your app they might also be inclined to give up can they set monetary goals for particular charities is money their only interaction with these charities or at least the only one that you want to support all good questions to consider second idea is simple but i like it would have liked to see a particular example of a daily challenge is there a possibility of doing something nice for another user win the app gives an incentive to the person being challenged to participate and to continue coming to the app,3,153
510,deductions  inspirations were good but  somewhat obvious would have liked to see more abstractmetaphorical connections to the point of view,0,20
513,doesnt include a concrete user need,1,6
1285,interface design fits on mobile well slightly unrelated but the changes to the way users give input via the one page form is a much better improvement from the previous iteration,0,31
1284,functionality mostly functional and not buggy enough to test out main elements filter seems to be least accounted for at the moment one part that is currently untestable is what requests to rent would end up looking like if you can get far enough to prototype that part of the exchange that would be pretty cool would also check out the list of improvements in the above,0,67
1287,notes  new header and things way better than the transparent nice,0,11
512,deductions  doesnt explicitly relate to design brief,1,7
1281,nav bar icon inconsistent on leftright and sometimes missing,0,9
1283, filter options not obvious the cogs button thing i actually didnt realize that was a thing until i was snooping around the repo code  also not clear how to utilize the filter does it work wheres the actionable okay filter now button,0,42
1282, form validation would be nice for input  that part is def going to be usedtested by people,0,17
1003,he changes interesting dialogue approach with the he evaluations fun to read might be useful later to condense this into a concise list just so its easier to keep track of for changes in the future,0,36
879,revisiting the brief is good incorporation of the 5stage model but missing more detail about actual changes the second paragraph helped with that a good amount though still more concrete changes need to be identified and made,0,37
1289,functionality still a couple bugs and perhaps not quite completely ready for testing once you get all this api madness finalized would ideally like to see some other tier of functionality involved in the application i think what would really encourage some additional exchange to happen would be what i noted above about being able to see who has checked in when like a nice aggregate of all this information with your list viewrandom or something that way i might be interested in chatting up someone who had been somewhere recently and getting their opinions something like that would be nice  some concrete data that people would actually be pretty interested to see,0,113
1288,breaks when i click a location point and try to click the name of the place from the text bubble,0,20
514,inspiration board is good but explanations lack depth a simple interface may be good for one particular application but you should delve deeper into why the interface is good,0,29
1579,deductions   presentation is unique and has creative elements that make it memorable,6,12
689,group he great insight on the security aspect of messaging involving consent,2,12
688,home page nice start to your home screen some things to consider once a user is either renting something out searching for things looking to rent etc should their home portal show different things rather is choosing between renting out things and renting from others going to most likely be the page someone wants to see by default this can all depend a lot on how users behave maybe most people will only either be mainly a buyer or mainly a renter maybe most people will live in both realms probably not hugely important but something to think about if you want to ensure that first page contains the best value for users,2,113
685,home page good start make sure you start considering a number of the heuristics covered in the last assignment at first glance its hard to determine what exactly i should be doing at a user if its a button make sure its obvious its a button if i hadnt already been brief with the prototypes from previous assignments i wouldnt have noticed that the two bottom boxes are the main functional buttons recognition over recall will be a big one for this screen,2,83
684,group he solid distilling of major errors solutions are pretty generic though perhaps some deeper discussion on solutions that would really fit well into the overall design of the prototypes could be more useful to address the ending note i agree that he can often draw away from the evaluation of the idea of an application needspov etc he mostly concerns usability but it is true that at this level of prototyping a little more consideration  given to the idea would be very valuable if we had more time in the course we would definitely love to fit in some more needsidea evaluation,2,103
686,missing some feedback that compares the two prototypes beyond just nothing that both are missing the same thing,0,18
681,home screen needs to layout the skeleton for more features can the user see past likesdislikes im hoping there will be more features than just likedislike in your final app,2,30
680,not enough quantity of feedback in general feedback needed to highlight the differences between the prototypes better and in some cases were too similar,0,24
683,individual he very thorough and well organized good job great job drawing comparisons in the prototypes as well,3,18
458,your point of view needs to be human centered why are people interested in sharing more aspects of themselves,0,19
1226,functionality  just missing a bit more functionality to complete the flow id like to be able to sign up and login as another user to check out the question i just posted on superuser etc,0,35
621,good job overall only thing missing was an explicit comparative analysis between the two prototypes,2,15
1224,whatever we talked about in office hour about potential navigation restructure consider when you have time,0,16
1223,if closing questions is an option should add that in for my questions,0,13
1222,on that note is answered and unanswered supposed to represent my personal participation in the question like whether or not i personally answered it thats what im guessing after seeing it change from yellow to green after answering but not quite w,0,42
1221,notes  labeling what each symbol means works though im wondering now if you just instead of having the symbols literally write unanswered in a small yellow box inline with the text etc  if that would work even better,0,38
1220,how is the distribution of hours going seems a bit uneven  can you add a total actual hours for each person to your spreadsheet  the time that your group meets,0,30
407,be careful about creating something like tinder for ucsd as this has been done over and over again your pov included social anxiety and i think your storyboards and prototypes should more address the social anxiety aspect rather than simply being an app to find connections or friends think of some other game elements that you might be able to incorporate into a social app like this,0,67
406,overall i think the idea of provoking honest feedbackcriticism between people is a great design problem would love to see how this turns out and how you can make it work the specific market of fashion critique is a great place to start appearances are probably something that people think about all the time,0,54
405,storyboard 2 for storyboards you really want to focus on the users experience when using your potential solution its not quite clear in storyboard 2 how the engagement of the application affects your user there seems to be a lot more heavily focused on the problem there should be a good balance,0,52
404,pov good articulation of strategy and issue of honest communication can we condense this a little bit more think about if you had only 1015 seconds to pitch your pov to someone what would you say this will be useful to know moving forward,0,44
403,inspirations needs more insightful explanation on why these choices are inspirations this section is not just a list of other products and what features they have the tinder bullet might be the closest to addressing this but still lacks depth in what about this particular matchmaking system inspires you or offers some insightful takeaway,0,54
402,the prototypes could be more divergent otherwise everything is looking good,0,11
401,for photo sharing have you seen lensmob httphcistorystudiotumblrcompost109129576225lensmob,1,8
400,i like the juxtaposition of artifacts as conveying meaning but elaborate further and specifically talk about what kind of meaning,0,20
1379,protocol really fantastic protocol well detailed and takes care of a lot of variables like choosing what to fill out which task to do etc i love that you did a pilot study and documented it as well great stuff,0,40
