,Comment,Length,Specific,Actionable,Justified
734,"For the foot scale, you can incorporate the bar similar to inch scale so when the user attempts to fix their posture, that bar gets filled up, then move on to the next step.",34,,,
415,not seeing a data file anywhere if it exists tell me to get the point back,16,,,
768,could have elaborated more here this is arguably the most important part of doing an evaluation of two prototypes together talk more about the brief how did they compare in actually meeting the design objective,35,,,
505,extra credit awarded because of your consistent hard work throughout the quarter great usercentered design your video made me smile,20,,,
1016,maybe its because you decided to keep the first page simple in which case consider the rubric item to be met but there is scope for many useful interactions to be afforded to the user on this page itself to avoid further clicks to get somewhere,46,,,
510,i would keep it more precise such as using only your last statement and changing the wording of that slightly,20,,,
144,old events also affect for todays suggestions,7,,,
772,"I can see what you're trying to do with the arrow, however, I feel as if a 3D symbol would be slightly confusing. Maybe just have an arrow that shows directions from a top-down perspective?",35,,,
496,some pages like affordability have dead ends no back buttons and dead links the hamburger menu is not functional,19,,,
634,text and color combinations dont go well together the text is also not wellaligned and is overlapping each other its unclear what the garden here is exactly,27,,,
327,its unclear from the video what exactly the purpose of the app is,13,,,
557,it would be better if the cancel button the one that appears when the add friends button was clicked was more visible,22,,,
45,good level of detail,4,,,
24,great write up,3,,,
219,point of view does not state the core problem,9,,,
368,this submission looks identical to dannys for the feedback please check out dannys submission,14,,,
713,"I might expand upon the weight graph, also overlaying it with your dietary information and workout schedule from days before to grant the user some intuition into how those factors affect their weight",33,,,
206,its unclear what the purpose of this page is,9,,,
468,the racing component is not clear from this video prototype but the other components clear so point awarded,18,,,
696,"The interface succeed at showing all the information needed. However, it lacks information hiearchy and seemed to be a little messy. Probably have different views showing simplier information and expand as needed",32,,,
793,assumes user has a thermometer with them how are the pictures used in a scientific way generous with the point here i think the core functionality is here but the data driving the functionality isnt practical,36,,,
813,There is no save button for the predefined modes of lighting. And throwing movie in between evening and morning is kind of random. You can also set a time for different modes to turn on automatically.,36,,,
76,no data file updated 12112016,5,,,
56,not really comparative enough,4,,,
164,i wish you highlighted the problem more here,8,,,
233,great job on an interesting idea good work all quarter,10,,,
278,observations not too thorough but point awarded because breakdowns were mentioned,11,,,
37,wheres the problem,3,,,
21,too unclear,2,,,
230,edit buttons dont have any functionality and dont go anywhere,10,,,
91,2 and 3 are too similar,6,,,
651,point of view needs to be written from a generic user perspective dont use the word i to describe it it should also only focus on the problem,28,,,
79,not relevant to personal informatics,5,,,
99,i could not find the calculations,6,,,
313,try reducing the focus on interface elementsdetails phrasing it more naturally instead,12,,,
2,questionable,1,,,
363,the storyboards dont really touch upon the routine concept you mentioned in your pov,14,,,
92,a lot of focus on styling,6,,,
